Protoss_Probe					// 0
Protoss_Pylon					// 1
Protoss_Nexus					// 2
Protoss_Gateway					// 3
Protoss_Zealot					// 4
Protoss_Cybernetics_Core		// 5
Protoss_Dragoon					// 6
Protoss_Assimilator				// 7
UpgradeTypes::Singularity_Charge// 8
Protoss_Forge					// 9
Protoss_Photon_Cannon			// 10
Protoss_High_Templar			// 11
Protoss_Citadel_of_Adun			// 12
Protoss_Templar_Archives		// 13
Protoss_Robotics_Facility		// 14
Protoss_Robotics_Support_Bay	// 15
Protoss_Observatory				// 16
Protoss_Stargate				// 17
Protoss_Scout					// 18
Protoss_Arbiter_Tribunal		// 19
Protoss_Arbiter					// 20
Protoss_Shield_Battery			// 21
Protoss_Dark_Templar			// 22
Protoss_Shuttle					// 23
Protoss_Reaver					// 24
Protoss_Observer				// 25
Protoss_Corsair					// 26
Protoss_Fleet_Beacon			// 27
Protoss_Carrier					// 28
UpgradeTypes::Leg_Enhancements	// 29
